Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>> 	WO 23/22				East India Company pensioners: alphabetical index of those in receipt of pension	1858-1865	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169206
>>>>>> 	WO 23/23				East India Company pensioners: alphabetical index of those in receipt of pension	1866-1876	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169207
>>>>>> 	WO 23/135				Licenciement to invalids: King's German Legion	c. 1801-c. 1815	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169191
>>>>>> 	WO 23/147	vol 1			Admission book: pensions payable in the colonies	1817 June-1826 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169192
>>>>>> 	WO 23/148	vol 2			Admission book: pensions payable in the colonies	1827 Mar-1839 May	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169193
>>>>>> 	WO 23/149	vol 3			Admission book: pensions payable in the colonies	1839 June-1847 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169194
>>>>>> 	WO 23/150	vol 4			Admission book: pensions payable in the colonies	1848 Jan-1853 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169195
>>>>>> 	WO 23/151	vol 5			Admission book: pensions payable in the colonies	1854 Jan-1862 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169196
>>>>>> 	WO 23/152	vol 6			Admission book: pensions payable in the colonies	1863 Jan-1875 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169197
>>>>>> 	WO 23/153				List of pensioners: 'negroes' and St Helena Corps	1837-1840	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169198
>>>>>> 	WO 23/154				List of black pensioners	c. 1837	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169199
>>>>>> 	WO 23/155				Register of men discharged from the Cape Mounted Rifle Corps and pensioned from colonial funds	1839-1868	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169204
>>>>>> 	WO 23/156				Admission book: 'negro' pensioners	1839 Apr-1850 Nov	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169200
>>>>>> 	WO 23/157				Admission book: 'negro' pensioners	1850 Nov-1863 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169201
>>>>>> 	WO 23/158				Admission book: Ceylon Rifles and Gun Lascars	1868 May-1876 Sept	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169212
>>>>>> 	WO 23/159				Admission book: 'negro' pensioners	1864 Jan-1879 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169202
>>>>>> 	WO 23/160				Admission book: native and colonial	1880 Jan-1903 Dec	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169203
>>>>>  				Ordnance	Registers giving details of ordnance personnel receiving pensions.	1834-1835	 								C91366
>>>>>> 	WO 23/141				Register of ordnance pensioners: sections A and B	1834	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169213
>>>>>> 	WO 23/142				Register of ordnance pensioners: section C	1834	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169214
>>>>>> 	WO 23/143				Register of ordnance pensioners: sections D-G	1834	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169215
>>>>>> 	WO 23/144				Register of ordnance pensioners: section H1	1834	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169216
>>>>>> 	WO 23/145				Register of ordnance pensioners: section H2	1834	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169217
>>>>>  				Miscellaneous			 								C91367
>>>>>> 	WO 23/24				Register of Greenwich Hospital pensions	1868-1870	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169219
>>>>>> 	WO 23/25				Miscellaneous	1821-1829	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C169218
>>>>>>>	WO 23/25/1		WO 23/25/1)		Lists of pensioners discharged from militia and yeomanry regiments		 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6154083
>>>>>>>	WO 23/25/2		WO 23/25/2)		Lists of pensioners discharged after service in tropical climates		 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6154084
