Level	Reference	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
>>>>>>>	WO 33/2A/1856/35	Paper number 35			Lord Stratford to Lord Clarendon on Principalities of Moldavia and Wallachia. ¶ Missing from volume - but accessioned as WO 33/2A/18 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215641
>>>>>>>	WO 33/2A/1856/36	Paper number 36			Major Cathcart to General Mansfield on his return to Ardvin	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215642
>>>>>>>	WO 33/2A/1856/37	Paper number 37			Commissioners of Audit on financial matters. ¶ Missing from volume - but accessioned as WO 33/2A/19 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215643
>>>>>>>	WO 33/2A/1856/38	Paper number 38			Report on best system of Hutting.	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215644
>>>>>>>	WO 33/2A/1856/39	Paper number 39			Sir J Young to Mr Labouchere on the Ionian Islands. ¶ Missing from volume - but accessioned as WO 33/2A/20 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215645
>>>>>>>	WO 33/2A/1856/40	Paper number 40			Sir H Barkley to Mr Labouchere on Bay Islands. ¶ Missing from volume - but accessioned as WO 33/2A/21 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215646
>>>>>>>	WO 33/2A/1856/42	Paper number 42			Report on Netley Hospital. ¶ Missing from volume - but accessioned as WO 33/2A/22 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215647
>>>>>>>	WO 33/2A/1856/43	Paper number 43			Papers relating to Commissariat Chest Fund. ¶ Missing from volume - but accessioned as WO 33/2A/23 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215648
>>>>>>>	WO 33/2A/1856/44	Paper number 44			Sir J Grey to Mr Labouchere on the Ionian Islands. ¶ Missing from volume - but accessioned as WO 33/2A/24 in 2018	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215649
>>>>>>>	WO 33/2A/1856/45	Paper number 45			Memorandum on terms of discharge of British Swiss Legion	1856	 				Open Document, Open Description	Normal Closure before FOI Act: 	30		C6215650
